"","Chemical.class","Standard.match"
"HILIC-pos_Cluster_1586","Fatty acid esters","C18:1 carnitine"
"C8-pos_Cluster_1490",NA,"C18:1 CE"
"C8-pos_Cluster_1514",NA,"C18:1 CE"
"C8-pos_Cluster_0945","1-acyl-sn-glycero-3-phosphocholines","C18:1 LPC"
"HILIC-pos_Cluster_1855","1-(1Z-alkenyl)-glycero-3-phosphocholines","C18:1 LPC plasmalogen*"
"HILIC-pos_Cluster_1893","1-acyl-sn-glycero-3-phosphocholines","C18:1 LPC*"
"HILIC-pos_Cluster_1580","Acyl carnitines","C18:2 carnitine"
"C8-pos_Cluster_1478","Cholesteryl esters","C18:2 CE"
"C8-pos_Cluster_1504","Cholesteryl esters","C18:2 CE*"
"C8-pos_Cluster_0939","1-acyl-sn-glycero-3-phosphocholines","C18:2 LPC"
"C8-pos_Cluster_1468","Cholesteryl esters","C18:3 CE"
"C8-pos_Cluster_1494","Cholesteryl esters","C18:3 CE*"
"C8-pos_Cluster_0936","1-acyl-sn-glycero-3-phosphocholines","C18:3 LPC"
"HILIC-pos_Cluster_0453",NA,"C2 carnitine"
"HILIC-pos_Cluster_1691","Acyl carnitines","C20 carnitine"
"C8-pos_Cluster_0915","1-acyl-sn-glycero-3-phosphoethanolamines","C20:0 LPE"
"C8-pos_Cluster_1610","Cholesteryl esters","C20:3 CE"
"C8-pos_Cluster_1635","Cholesteryl esters","C20:3 CE*"
"HILIC-pos_Cluster_1673",NA,"C20:4 carnitine"
"C8-pos_Cluster_1623","Cholesteryl esters","C20:4 CE"
"C8-pos_Cluster_1597","Cholesteryl esters","C20:4 CE"
"C8-pos_Cluster_1614","Cholesteryl esters","C20:5 CE"
"C8-pos_Cluster_1012","1-acyl-sn-glycero-3-phosphocholines","C20:5 LPC"
"C8-pos_Cluster_1888","Sphingolipids","C22:0 SM"
"C8-pos_Cluster_0678","1-monoacylglycerols","C22:1 MAG"
"C8-pos_Cluster_1884","Sphingolipids","C22:1 SM"
"C8-pos_Cluster_1722","Cholesteryl esters","C22:4 CE"
"C8-pos_Cluster_1742","Cholesteryl esters","C22:4 CE*"
"C8-pos_Cluster_1712","Cholesteryl esters","C22:5 CE"
"C8-pos_Cluster_1736","Cholesteryl esters","C22:5 CE*"
"C8-pos_Cluster_1726","Cholesteryl esters","C22:6 CE"
"C8-pos_Cluster_1970","Sphingolipids","C24:0 SM"
"C8-pos_Cluster_0868","Triacylglycerols","C24:0 TAG"
"C8-pos_Cluster_1965","Sphingolipids","C24:1 SM"
"C8-pos_Cluster_2019","Sphingolipids","C24:1 SM"
"C8-pos_Cluster_1070","1,2-diacylglycerols","C30:0 DAG"
"C8-pos_Cluster_1186","1,2-diacylglycerols","C32:0 DAG"
"C8-pos_Cluster_1761","Phosphatidylcholines","C32:1 PC"
"C8-pos_Cluster_1146","1,2-diacylglycerols","C32:2 DAG*"
"C8-pos_Cluster_1302","1,2-diacylglycerols","C34:0 DAG*"
"C8-pos_Cluster_1727","Phosphatidylethanolamines","C34:0 PE"
"C8-pos_Cluster_1277","1,2-diacylglycerols","C34:1 DAG*"
"C8-pos_Cluster_1821","Phosphatidylcholines","C34:1 PC"
"C8-pos_Cluster_1800","1-(1Z-alkenyl),2-acyl-glycerophosphocholines","C34:1 PC plasmalogen-A"
"C8-pos_Cluster_1291","Lineolic acids and derivatives","C34:2 DAG"
"C8-pos_Cluster_1271","Lineolic acids and derivatives","C34:2 DAG*"
"C8-pos_Cluster_1817","Phosphatidylcholines","C34:2 PC"
"C8-pos_Cluster_1282","Lineolic acids and derivatives","C34:3 DAG"
"C8-pos_Cluster_1262","Lineolic acids and derivatives","C34:3 DAG*"
"C8-pos_Cluster_1393","1,2-diacylglycerols","C36:0 DAG"
"C8-pos_Cluster_1889","Phosphatidylcholines","C36:1 PC"
"C8-pos_Cluster_1377",NA,"C36:2 DAG"
"C8-pos_Cluster_1364",NA,"C36:2 DAG*"
"C8-pos_Cluster_1886",NA,"C36:2 PC"
"C8-pos_Cluster_1856","1-(1Z-alkenyl),2-acyl-glycerophosphocholines","C36:2 PC plasmalogen"
"HILIC-pos_Cluster_2372",NA,"C36:2 PC*"
"C8-pos_Cluster_1373","Lineolic acids and derivatives","C36:3 DAG"
"C8-pos_Cluster_1358","Lineolic acids and derivatives","C36:3 DAG*"
"C8-pos_Cluster_1879","Phosphatidylcholines","C36:3 PC"
"C8-pos_Cluster_1367","Lineolic acids and derivatives","C36:4 DAG"
"C8-pos_Cluster_1351","Lineolic acids and derivatives","C36:4 DAG*"
"C8-pos_Cluster_1873","Phosphatidylcholines","C36:4 PC-A"
"C8-pos_Cluster_1874","Phosphatidylcholines","C36:4 PC-B"
"C8-pos_Cluster_1833","1-(1Z-alkenyl),2-acyl-glycerophosphocholines","C36:5 PC plasmalogen-A"
"C8-pos_Cluster_1835","1-(1Z-alkenyl),2-acyl-glycerophosphocholines","C36:5 PC plasmalogen-B"
"C8-pos_Cluster_1473","1,2-diacylglycerols","C38:5 DAG*"
"HILIC-pos_Cluster_0790","Acyl carnitines","C3-DC-CH3 carnitine"
"HILIC-pos_Cluster_0625",NA,"C4 carnitine"
"C8-pos_Cluster_1799",NA,"C42:0 TAG"
"C8-pos_Cluster_1791",NA,"C42:0 TAG"
"C8-pos_Cluster_1861","Triacylglycerols","C44:0 TAG"
"C8-pos_Cluster_1848","Triacylglycerols","C44:0 TAG*"
"C8-pos_Cluster_1854",NA,"C44:1 TAG"
"C8-pos_Cluster_1837",NA,"C44:1 TAG"
"C8-pos_Cluster_1932","Triacylglycerols","C46:0 TAG"
"C8-pos_Cluster_1912","Triacylglycerols","C46:0 TAG*"
"C8-pos_Cluster_1922",NA,"C46:1 TAG"
"C8-pos_Cluster_1907",NA,"C46:1 TAG*"
"C8-pos_Cluster_1915","Triacylglycerols","C46:2 TAG"
"C8-pos_Cluster_1902","Triacylglycerols","C46:2 TAG*"
"C8-pos_Cluster_2003",NA,"C48:0 TAG"
"C8-pos_Cluster_1992",NA,"C48:0 TAG*"
"C8-pos_Cluster_1997",NA,"C48:1 TAG"
"C8-pos_Cluster_1995","Triacylglycerols","C48:2 TAG"
"C8-pos_Cluster_1976","Triacylglycerols","C48:2 TAG*"
"C8-pos_Cluster_1987","Triacylglycerols","C48:3 TAG"
"C8-pos_Cluster_1980",NA,"C48:4 TAG"
"C8-pos_Cluster_2022",NA,"C49:1 TAG"
"C8-pos_Cluster_2088","Triacylglycerols","C50:0 TAG"
"C8-pos_Cluster_2081","Triacylglycerols","C50:1 TAG"
"C8-pos_Cluster_2064","Triacylglycerols","C50:1 TAG*"
"C8-pos_Cluster_2075",NA,"C50:2 TAG"
"C8-pos_Cluster_2069",NA,"C50:3 TAG"
"C8-pos_Cluster_2046",NA,"C50:3 TAG*"
"C8-pos_Cluster_2056",NA,"C50:4 TAG"
"C8-pos_Cluster_2040",NA,"C50:4 TAG*"
"C8-pos_Cluster_2048",NA,"C50:5 TAG"
"C8-pos_Cluster_2130","Triacylglycerols","C51:0 TAG*"
"C8-pos_Cluster_2117","Triacylglycerols","C51:2 TAG*"
"C8-pos_Cluster_2102","Triacylglycerols","C51:2 TAG*"
"C8-pos_Cluster_2094",NA,"C51:3 TAG*"
"C8-pos_Cluster_2168","Triacylglycerols","C52:0 TAG"
"C8-pos_Cluster_2154","Triacylglycerols","C52:0 TAG*"
"C8-pos_Cluster_2161","Triacylglycerols","C52:1 TAG"
"C8-pos_Cluster_2147","Triacylglycerols","C52:1 TAG*"
"C8-pos_Cluster_2156",NA,"C52:2 TAG"
"C8-pos_Cluster_2140",NA,"C52:2 TAG*"
"C8-pos_Cluster_2149","Triacylglycerols","C52:3 TAG"
"C8-pos_Cluster_2136","Triacylglycerols","C52:3 TAG*"
"C8-pos_Cluster_2141",NA,"C52:4 TAG"
"C8-pos_Cluster_2132",NA,"C52:4 TAG*"
"C8-pos_Cluster_2138","Triacylglycerols","C52:5 TAG"
"C8-pos_Cluster_2124","Triacylglycerols","C52:5 TAG*"
"C8-pos_Cluster_2134",NA,"C52:6 TAG"
"C8-pos_Cluster_2119",NA,"C52:6 TAG*"
"C8-pos_Cluster_2128",NA,"C52:7 TAG"
"C8-pos_Cluster_2192",NA,"C53:3 TAG*"
"C8-pos_Cluster_2178",NA,"C53:3 TAG*"
"C8-pos_Cluster_2242","Triacylglycerols","C54:1 TAG"
"C8-pos_Cluster_2240",NA,"C54:2 TAG"
"C8-pos_Cluster_2233","Triacylglycerols","C54:3 TAG"
"C8-pos_Cluster_2218","Triacylglycerols","C54:3 TAG*"
"C8-pos_Cluster_2226",NA,"C54:4 TAG"
"C8-pos_Cluster_2211",NA,"C54:4 TAG*"
"C8-pos_Cluster_2220",NA,"C54:5 TAG"
"C8-pos_Cluster_2207",NA,"C54:5 TAG*"
"C8-pos_Cluster_2215","Triacylglycerols","C54:6 TAG"
"C8-pos_Cluster_2201","Triacylglycerols","C54:6 TAG*"
"C8-pos_Cluster_2210","Triacylglycerols","C54:7 TAG"
"C8-pos_Cluster_2202","Triacylglycerols","C54:8 TAG"
"C8-pos_Cluster_2197",NA,"C54:9 TAG"
"C8-pos_Cluster_2284",NA,"C55:2 TAG*"
"C8-pos_Cluster_2277",NA,"C55:3 TAG*"
"C8-pos_Cluster_2319","Triacylglycerols","C56:1 TAG"
"C8-pos_Cluster_2308","Triacylglycerols","C56:1 TAG*"
"C8-pos_Cluster_2313",NA,"C56:2 TAG"
"C8-pos_Cluster_2306",NA,"C56:2 TAG*"
"C8-pos_Cluster_2311",NA,"C56:3 TAG"
"C8-pos_Cluster_2303",NA,"C56:3 TAG*"
"C8-pos_Cluster_2307",NA,"C56:4 TAG"
"C8-pos_Cluster_2297",NA,"C56:4 TAG*"
"C8-pos_Cluster_2304","Triacylglycerols","C56:5 TAG"
"C8-pos_Cluster_2300",NA,"C56:6 TAG"
"C8-pos_Cluster_2286",NA,"C56:6 TAG*"
"C8-pos_Cluster_2293","Triacylglycerols","C56:7 TAG"
"C8-pos_Cluster_2345",NA,"C58:6 TAG"
"C8-pos_Cluster_2341","Triacylglycerols","C58:7 TAG"
"HILIC-pos_Cluster_0405","Purines and purine derivatives","caffeine"
"HILIC-neg_Cluster_0064","Medium-chain fatty acids","caproic acid"
"HILIC-neg_Cluster_0156","Medium-chain fatty acids","caprylic acid"
"HILIC-pos_Cluster_0230","Quaternary ammonium salts","carnitine"
"HILIC-pos_Cluster_0590","Peptidomimetics","carnosine"
"C18-neg_Cluster_0486","Diterpene lactones","carnosol"
"C18-neg_Cluster_1045","Bile acids, alcohols and derivatives","chenodeoxycholate"
"C18-neg_Cluster_0832","Bile acids, alcohols and derivatives","chenodeoxycholate"
"C18-neg_Cluster_1292","Bile acids, alcohols and derivatives","chenodeoxycholate"
"C18-neg_Cluster_1060","Bile acids, alcohols and derivatives","chenodeoxycholate"
"C18-neg_Cluster_1129","Bile acids, alcohols and derivatives","chenodeoxycholate"
"HILIC-neg_Cluster_1360","Bile acids, alcohols and derivatives","chenodeoxycholate/deoxycholate*"
"C18-neg_Cluster_1258","Bile acids, alcohols and derivatives","cholate"
"C18-neg_Cluster_0930","Bile acids, alcohols and derivatives","cholate"
"HILIC-neg_Cluster_1403","Bile acids, alcohols and derivatives","cholate"
"C18-neg_Cluster_1178","Bile acids, alcohols and derivatives","cholate"
"C18-neg_Cluster_1273","Bile acids, alcohols and derivatives","cholate"
"C18-neg_Cluster_1372","Bile acids, alcohols and derivatives","cholate"
"C18-neg_Cluster_1621","Bile acids, alcohols and derivatives","cholate"
"C18-neg_Cluster_1722","Bile acids, alcohols and derivatives","cholate"
"C8-pos_Cluster_1849","Cholesterols and derivatives","cholestenone"
"C8-pos_Cluster_1900","Cholesterols and derivatives","cholestenone"
"C8-pos_Cluster_0478","Cholesterols and derivatives","cholestenone"
"C8-pos_Cluster_0554","Cholesterols and derivatives","cholestenone"
"C8-pos_Cluster_0629","Cholesterols and derivatives","cholestenone"
"C8-pos_Cluster_0705","Cholesterols and derivatives","cholestenone"
"C8-pos_Cluster_0416",NA,"cholesterol"
"HILIC-pos_Cluster_0022","Quaternary ammonium salts","choline"
"HILIC-neg_Cluster_0392","Tricarboxylic acids and derivatives","citrate"
"HILIC-pos_Cluster_0306","L-alpha-amino acids","citrulline"
"HILIC-neg_Cluster_0296","L-alpha-amino acids","citrulline"
"HILIC-pos_Cluster_0090","Alpha amino acids and derivatives","creatine"
"HILIC-pos_Cluster_0036","Amino acids, peptides, and analogues","creatinine"
"HILIC-neg_Cluster_0677","L-cysteine-S-conjugates","cystine"
"HILIC-pos_Cluster_0032",NA,"cytosine"
"C18-neg_Cluster_0833","Bile acids, alcohols and derivatives","deoxycholic acid"
"HILIC-pos_Cluster_0734","Purine nucleosides","deoxyinosine"
"HILIC-neg_Cluster_0740","Purine nucleosides","deoxyinosine"
"HILIC-pos_Cluster_0936","Acetamides","diacetylspermine"
"HILIC-neg_Cluster_0199","Benzoic acids and derivatives","dihydroxybenzoic acid"
"HILIC-pos_Cluster_0298","Alpha amino acids","dimethyllysine"
"C18-neg_Cluster_0472",NA,"docosahexaenoic acid"
"HILIC-neg_Cluster_1126","Very long-chain fatty acids","docosapentaenoate"
"C18-neg_Cluster_0490","Very long-chain fatty acids","docosapentaenoic acid"
"C18-neg_Cluster_0863","Very long-chain fatty acids","docosapentaenoic acid"
"C18-neg_Cluster_0729","Very long-chain fatty acids","docosapentaenoic acid"
"C18-neg_Cluster_1324","Very long-chain fatty acids","docosapentaenoic acid"
"C18-neg_Cluster_0111","Medium-chain fatty acids","dodecanedioic acid"
"HILIC-neg_Cluster_1002","Fatty acids and conjugates","eicosapentaenoic acid"
"C18-neg_Cluster_0351","Fatty acids and conjugates","eicosapentaenoic acid"
"C18-neg_Cluster_0591","Long-chain fatty acids","eicosatrienoic acid"
"C18-neg_Cluster_0361","Long-chain fatty acids","eicosatrienoic acid"
"C18-neg_Cluster_0373","Long-chain fatty acids","eicosenoate"
"C8-pos_Cluster_0737",NA,"epoxysqualene"
"HILIC-neg_Cluster_0122",NA,"erythronic acid"
"HILIC-pos_Cluster_0913","Fatty acid esters","ethyl 9-hexadecenoate"
"HILIC-neg_Cluster_0562","O-glucuronides","ethyl glucuronide"
"HILIC-neg_Cluster_0321","Hexoses","fructose/glucose/galactose*"
"HILIC-neg_Cluster_0237","Hexoses","fucose"
"HILIC-neg_Cluster_0061",NA,"fumarate/maleate*"
"HILIC-pos_Cluster_0658","Fatty alcohol esters","geranyl acetoacetate*"
"HILIC-pos_Cluster_0657","Fatty alcohol esters","geranyl acetoacetate*"
"HILIC-neg_Cluster_0401","Glucuronic acid derivatives","glucurote"
"HILIC-pos_Cluster_0160","Amino acids, peptides, and analogues","glutamate"
"HILIC-neg_Cluster_0166","Glutamic acid and derivatives","glutamate"
"HILIC-pos_Cluster_0156","L-alpha-amino acids","glutamine"
"HILIC-neg_Cluster_0162","L-alpha-amino acids","glutamine"
"HILIC-neg_Cluster_0036","Sugar acids and derivatives","glycerate"
"HILIC-neg_Cluster_1571",NA,"glycocholate"
"C18-neg_Cluster_1196",NA,"glycodeoxycholic acid"
"C18-neg_Cluster_1081",NA,"glycolithocholic acid"
"C18-neg_Cluster_1197",NA,"glycoursodeoxycholic acid"
"HILIC-neg_Cluster_0182","Imidazopyrimidines","guanine"
"HILIC-neg_Cluster_0909","Purine nucleosides","guanosine"
"HILIC-neg_Cluster_0841","Long-chain fatty acids","heptadecanoate"
"C18-neg_Cluster_0268","Long-chain fatty acids","hexadecanedioic acid"
"HILIC-pos_Cluster_0033",NA,"histamine"
"HILIC-neg_Cluster_0201","Amino acids, peptides, and analogues","histidine"
"HILIC-neg_Cluster_0328","Phenols","homovanillate"
"HILIC-neg_Cluster_0181",NA,"hydrocinnamic acid"
"HILIC-neg_Cluster_0070","Hydroxy fatty acids","hydroxyisovaleric acid"
"HILIC-pos_Cluster_0089",NA,"hydroxyproline"
"C18-neg_Cluster_0830",NA,"hyodeoxycholate/ursodeoxycholate*"
"HILIC-pos_Cluster_0108","Purines and purine derivatives","hypoxanthine"
"HILIC-neg_Cluster_0123","Purines and purine derivatives","hypoxanthine"
"HILIC-pos_Cluster_0121","Azoles","imidazole propionate"
"HILIC-neg_Cluster_0204","Azoles","imidazolelactate"
"HILIC-pos_Cluster_0822","Purine nucleosides","inosine"
"HILIC-neg_Cluster_0824","Purine nucleosides","inosine"
"HILIC-pos_Cluster_0092","Isoleucine and derivatives","isoleucine"
"C18-neg_Cluster_0900",NA,"ketodeoxycholate"
"HILIC-pos_Cluster_0383","Quinolines and derivatives","kynurenic acid"
"HILIC-pos_Cluster_0521","Pyridoindoles","L-1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid*"
"HILIC-neg_Cluster_0020","Hydroxy acids and derivatives","lactate"
"HILIC-neg_Cluster_1170","O-glycosyl compounds","lactose"
"HILIC-pos_Cluster_0091","Amino acids, peptides, and analogues","leucine"
"HILIC-neg_Cluster_0105","Amino acids, peptides, and analogues","leucine"
"HILIC-neg_Cluster_0230",NA,"levoglucosan"
"C18-neg_Cluster_0246",NA,"linoleic acid"
"HILIC-neg_Cluster_1325","Organonitrogen compounds","linoleoyl ethanolamide"
"HILIC-pos_Cluster_1160","Organonitrogen compounds","linoleoyl ethanolamide"
"C8-pos_Cluster_1495","Organonitrogen compounds","linoleoyl ethanolamide"
"C8-pos_Cluster_0264","Organonitrogen compounds","linoleoyl ethanolamide"
"HILIC-pos_Cluster_1148","Organonitrogen compounds","linoleoyl ethanolamide"
"C8-pos_Cluster_0339","Organonitrogen compounds","linoleoyl ethanolamide"
"HILIC-neg_Cluster_1088","Organonitrogen compounds","linoleoyl ethanolamide"
"HILIC-neg_Cluster_1303",NA,"lithocholate"
"C18-neg_Cluster_0731",NA,"lithocholic acid"
"HILIC-neg_Cluster_0247","Phenylpropanoic acids","L-phenyllactic acid"
"HILIC-pos_Cluster_0157","Amino acids, peptides, and analogues","lysine"
"HILIC-neg_Cluster_0118",NA,"malate"
"HILIC-neg_Cluster_0033","Dicarboxylic acids and derivatives","malonate"
"C18-neg_Cluster_1680",NA,"maslinic acid"
"C18-neg_Cluster_1385",NA,"maslinic acid"
"C18-neg_Cluster_1803",NA,"maslinic acid"
"C18-neg_Cluster_2068",NA,"maslinic acid"
"HILIC-pos_Cluster_0167","Methionine and derivatives","methionine"
"HILIC-neg_Cluster_0173","Methionine and derivatives","methionine"
"HILIC-pos_Cluster_0244","Alpha amino acids","methionine sulfoxide"
"HILIC-neg_Cluster_0030","Methyl-branched fatty acids","methylbutyric aid / valeric / isovaleric*"
"HILIC-pos_Cluster_0191","Pyridines and derivatives","methylpyridonecarboxamide"
"C18-neg_Cluster_0107","Long-chain fatty acids","myristic acid"
"HILIC-neg_Cluster_0372","Glutamic acid and derivatives","N-acetylglutamate"
"HILIC-pos_Cluster_0384","Glutamic acid and derivatives","N-acetylglutamic acid"
"HILIC-pos_Cluster_0495","Glutamic acid and derivatives","N-acetylglutamic acid"
"HILIC-pos_Cluster_0419","Histidine and derivatives","N-acetylhistidine"
"HILIC-pos_Cluster_0524","N-acyl-L-alpha-amino acids","N-acetyl-L-arginine"
"HILIC-pos_Cluster_0086","Carboximidic acids and derivatives","N-acetylputrescine"
"HILIC-pos_Cluster_0038","Carboximidic acids and derivatives","N-acetylputrescine"
"HILIC-pos_Cluster_0374","Carboximidic acids and derivatives","N-acetylspermidine"
"C18-neg_Cluster_0672","Very long-chain fatty acids","nervonic acid"
"HILIC-neg_Cluster_0082","Pyridinecarboxylic acids and derivatives","nicotinate"
"HILIC-pos_Cluster_0062","Pyridinecarboxylic acids and derivatives","nicotinic acid"
"HILIC-pos_Cluster_0082",NA,"N-methylproline"
"HILIC-pos_Cluster_0378","Arginine and derivatives","NMMA"
"C8-pos_Cluster_0341","Organonitrogen compounds","N-oleoylethanolamine"
"C18-neg_Cluster_1596",NA,"oleanolic acid"
"C18-neg_Cluster_1275",NA,"oleanolic acid"
"C18-neg_Cluster_0250",NA,"oleic acid"
"HILIC-pos_Cluster_0100","Amino acids, peptides, and analogues","ornithine"
"HILIC-neg_Cluster_0203","Pyrimidines and pyrimidine derivatives","orotate"
"HILIC-neg_Cluster_0016","Dicarboxylic acids and derivatives","oxalate"
"C18-neg_Cluster_0171","Fatty acids and conjugates","palmitic acid"
"C18-neg_Cluster_0164","Long-chain fatty acids","palmitoleic acid"
"C8-pos_Cluster_0288","2-monoacylglycerols","palmitoyl glycerol"
